Month,Count
1.2.2016,3
1.3.2016,35
1.4.2016,27
1.5.2016,21
1.6.2016,52
1.7.2016,22
1.8.2016,11
1.9.2016,21
1.10.2016,33
1.11.2016,38
1.12.2016,35
1.1.2017,95
1.2.2017,121
1.3.2017,54
1.4.2017,50
1.5.2017,49
1.6.2017,33
1.7.2017,75
1.8.2017,38
1.9.2017,9
1.10.2017,20
1.11.2017,27
1.12.2017,33
1.1.2018,53
1.2.2018,53
1.3.2018,21
1.4.2018,5
1.5.2018,17
1.6.2018,27
1.7.2018,15
1.8.2018,2
1.9.2018,23
1.10.2018,18
1.11.2018,40
1.12.2018,9
1.1.2019,11
1.2.2019,1
1.3.2019,1
1.5.2019,1
1.6.2019,3
1.7.2019,3
1.10.2019,3
1.11.2019,1
1.12.2019,7
1.1.2020,53
